id,predict_0,predict_1,predict_2
11066,0.52073,0.240289,0.238981
18000,0.351068,0.262318,0.386614
16964,0.52073,0.240289,0.238981
4795,0.51566,0.242759,0.241581
3392,0.316192,0.409674,0.274134
3795,0.421416,0.308399,0.270184
2881,0.507424,0.251456,0.24112
1903,0.397922,0.287457,0.314621
5245,0.389316,0.356925,0.253759
6726,0.492193,0.266805,0.241002
1311,0.471027,0.280855,0.248118
15795,0.351067,0.415266,0.233667
4315,0.47768,0.292874,0.229445
3393,0.32842,0.335653,0.335927
6764,0.497342,0.260609,0.242049
13039,0.480124,0.276386,0.24349
12331,0.301198,0.394526,0.304276
14276,0.288327,0.31871,0.392963
14638,0.455991,0.307074,0.236935
6573,0.519929,0.23992,0.240152
2222,0.360741,0.244764,0.394495
8824,0.480014,0.283971,0.236014
6360,0.487748,0.277971,0.234281
7553,0.280604,0.306389,0.413007
13760,0.513293,0.242658,0.244049
4284,0.329976,0.351776,0.318248
1356,0.493536,0.269403,0.237061
3410,0.497677,0.267085,0.235237
4830,0.352271,0.411563,0.236166
8998,0.40268,0.33485,0.26247
18052,0.478676,0.290518,0.230806
7539,0.52073,0.240289,0.238981
9529,0.45764,0.271997,0.270363
3656,0.410587,0.345211,0.244202
14238,0.399544,0.335927,0.264529
2682,0.374588,0.355383,0.270029
7312,0.405086,0.332197,0.262716
12971,0.416824,0.299496,0.283679
10735,0.497945,0.263711,0.238344
4050,0.376145,0.34485,0.279005
5943,0.51566,0.242759,0.241581
6482,0.402322,0.351753,0.245925
9746,0.267927,0.264016,0.468057
13320,0.355801,0.241413,0.402786
803,0.335938,0.388932,0.27513
15437,0.493238,0.269241,0.237521
12302,0.520646,0.240251,0.239103
12271,0.520153,0.240023,0.239823
5341,0.411396,0.279134,0.30947
4427,0.519929,0.23992,0.240152
529,0.425187,0.284777,0.290036
2022,0.488066,0.278153,0.233781
14625,0.483412,0.274501,0.242087
2922,0.349992,0.364371,0.285636
16330,0.316716,0.366677,0.316607
12890,0.478428,0.271037,0.250535
2140,0.414368,0.325586,0.260046
13484,0.421696,0.324762,0.253542
12392,0.454281,0.310099,0.235621
2322,0.471067,0.282381,0.246553
567,0.501133,0.262595,0.236272
4436,0.445446,0.30231,0.252243
12156,0.520646,0.240251,0.239103
7508,0.395972,0.347222,0.256806
6184,0.479757,0.251394,0.268848
12213,0.486984,0.235854,0.277162
6458,0.295144,0.341702,0.363155
13967,0.479171,0.272093,0.248736
894,0.316192,0.409674,0.274134
7461,0.284421,0.32794,0.387639
8949,0.468455,0.277691,0.253854
3477,0.381207,0.371564,0.247229
2779,0.52073,0.240289,0.238981
13551,0.322232,0.392284,0.285484
8297,0.381207,0.371564,0.247229
5050,0.410587,0.345211,0.244202
10716,0.344732,0.388454,0.266814
16075,0.370897,0.330494,0.298609
1366,0.35762,0.410448,0.231932
774,0.520153,0.240023,0.239823
7406,0.389691,0.35727,0.253039
2526,0.424923,0.280636,0.29444
9649,0.395972,0.347222,0.256806
16115,0.335938,0.388932,0.27513
14749,0.304384,0.337057,0.358559
14952,0.410274,0.314674,0.275052
4786,0.48564,0.27075,0.24361
16513,0.438427,0.300008,0.261565
2002,0.52073,0.240289,0.238981
4701,0.348425,0.405977,0.245598
7742,0.399544,0.335927,0.264529
5905,0.487748,0.277971,0.234281
685,0.348822,0.339053,0.312125
11857,0.480124,0.276386,0.24349
11628,0.284421,0.32794,0.387639
15024,0.41303,0.329628,0.257341
4168,0.508403,0.246227,0.24537
11914,0.511744,0.24728,0.240975
5293,0.506807,0.259007,0.234186
3374,0.41345,0.372107,0.214443
13055,0.520468,0.240168,0.239364
17759,0.390965,0.358437,0.250598
590,0.474335,0.279131,0.246534
1353,0.472811,0.280274,0.246915
11938,0.281733,0.287937,0.43033
1018,0.280911,0.331098,0.387991
14945,0.479999,0.276315,0.243687
1001,0.462886,0.297732,0.239382
3587,0.396666,0.333507,0.269827
868,0.52073,0.240289,0.238981
9296,0.267927,0.264016,0.468057
12455,0.520153,0.240023,0.239823
17132,0.392548,0.355776,0.251676
10240,0.494382,0.239437,0.266181
3696,0.370958,0.29417,0.334872
10355,0.387251,0.358763,0.253985
2206,0.387996,0.35415,0.257854
14590,0.52073,0.240289,0.238981
13191,0.41671,0.342927,0.240364
5882,0.471352,0.281049,0.247598
12653,0.351067,0.415266,0.233667
1491,0.410587,0.345211,0.244202
1176,0.444947,0.293464,0.261589
11246,0.351068,0.262318,0.386614
14557,0.31995,0.370421,0.309629
4772,0.335914,0.343312,0.320774
17192,0.480124,0.276386,0.24349
10637,0.44491,0.292595,0.262495
3281,0.381207,0.371564,0.247229
3191,0.415079,0.310147,0.274774
672,0.496074,0.263201,0.240725
6301,0.438248,0.298258,0.263494
10309,0.480777,0.272367,0.246856
1734,0.341488,0.412011,0.2465
2990,0.39238,0.321689,0.28593
5746,0.307615,0.446214,0.246172
15289,0.438248,0.298258,0.263494
2971,0.52073,0.240289,0.238981
9771,0.353792,0.332467,0.313741
11253,0.511172,0.247004,0.241823
14576,0.340747,0.380185,0.279068
4688,0.49577,0.266062,0.238168
14469,0.511107,0.246972,0.241921
9298,0.415079,0.310147,0.274774
16099,0.346703,0.422869,0.230428
17316,0.332121,0.363242,0.304637
15212,0.520468,0.240168,0.239364
10691,0.486984,0.235854,0.277162
3805,0.52073,0.240289,0.238981
6418,0.401284,0.320655,0.27806
1158,0.331951,0.411127,0.256922
7768,0.493536,0.269403,0.237061
4834,0.267042,0.339911,0.393047
10914,0.392604,0.338483,0.268912
14606,0.424023,0.300645,0.275332
3220,0.39498,0.343035,0.261985
10433,0.410083,0.344788,0.245129
11251,0.371092,0.325405,0.303503
8084,0.497945,0.263711,0.238344
522,0.451395,0.286512,0.262093
17299,0.447082,0.300038,0.25288
15587,0.438348,0.253864,0.307787
1563,0.290263,0.319602,0.390135
8252,0.390965,0.358437,0.250598
17802,0.330716,0.285094,0.38419
2738,0.410587,0.345211,0.244202
9896,0.462572,0.271562,0.265866
14609,0.520468,0.240168,0.239364
10463,0.52073,0.240289,0.238981
1280,0.317437,0.376408,0.306154
977,0.335474,0.388394,0.276132
979,0.316192,0.409674,0.274134
10908,0.52073,0.240289,0.238981
12569,0.506086,0.244546,0.249368
6078,0.506256,0.246711,0.247034
18339,0.520468,0.240168,0.239364
13799,0.409722,0.344484,0.245793
7193,0.299043,0.305628,0.395328
8243,0.389811,0.357379,0.25281
13622,0.520468,0.240168,0.239364
5885,0.482949,0.274238,0.242813
5768,0.486984,0.235854,0.277162
632,0.395972,0.347222,0.256806
3314,0.520646,0.240251,0.239103
3664,0.391366,0.354815,0.253818
18518,0.401157,0.350734,0.248109
7687,0.520468,0.240168,0.239364
17889,0.340388,0.351965,0.307647
12943,0.464611,0.266525,0.268864
3581,0.389257,0.368214,0.242529
13802,0.473471,0.276465,0.250064
17702,0.380619,0.360042,0.259339
12342,0.520468,0.240168,0.239364
11185,0.519929,0.23992,0.240152
15675,0.468556,0.282166,0.249278
6716,0.428213,0.316018,0.25577
17790,0.35907,0.415588,0.225342
17791,0.361402,0.376485,0.262114
6145,0.520153,0.240023,0.239823
18237,0.399292,0.345314,0.255394
10523,0.441311,0.327951,0.230738
4356,0.389316,0.356925,0.253759
7482,0.400049,0.348891,0.251059
5856,0.456183,0.271132,0.272686
5011,0.367068,0.274273,0.358658
15872,0.52073,0.240289,0.238981
6609,0.392323,0.353239,0.254439
995,0.500426,0.236575,0.263
4680,0.520468,0.240168,0.239364
18327,0.413577,0.307821,0.278602
8484,0.385752,0.355449,0.258799
16968,0.35762,0.410448,0.231932
8305,0.520646,0.240251,0.239103
7012,0.498514,0.250848,0.250639
13465,0.301658,0.292257,0.406085
8375,0.479999,0.276315,0.243687
15629,0.381207,0.371564,0.247229
12296,0.507424,0.251456,0.24112
458,0.420999,0.262548,0.316452
18124,0.271385,0.283945,0.444669
4430,0.278694,0.332687,0.38862
14443,0.352271,0.411563,0.236166
15275,0.416415,0.311145,0.27244
4470,0.310958,0.317806,0.371237
13831,0.519722,0.239824,0.240453
